config,scaler,model,AUC_CV,Acc_CV,Acc_holdout
1,none,GaussianNB,0.4551,0.2222,0.2222222222222222
1,standard,KNeighborsClassifier,0.4847,0.3333,0.3333333333333333
1,minmax,XGBClassifier,0.5446,0.2778,0.2777777777777778
2,none,GaussianNB,0.4551,0.2222,0.2222222222222222
2,standard,GaussianNB,0.4667,0.2222,0.2222222222222222
2,minmax,GaussianNB,0.4667,0.2222,0.2222222222222222
3,none,GaussianNB,0.4762,0.2222,0.2222222222222222
3,standard,GaussianNB,0.471,0.2222,0.2222222222222222
3,minmax,GaussianNB,0.471,0.2222,0.2222222222222222
4,none,ExtraTreesClassifier,0.4634,0.2222,0.2222222222222222
4,standard,ExtraTreesClassifier,0.4492,0.1667,0.16666666666666666
4,minmax,ExtraTreesClassifier,0.4361,0.2222,0.2222222222222222
