Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
CatBoost Classifier,0.9362999999999999,0.9878600000000001,0.9362999999999999,0.94044,0.93592,0.86818,0.8725999999999999,1.1244
Light Gradient Boosting Machine,0.93354,0.9847999999999999,0.93354,0.9374399999999999,0.93324,0.8629200000000001,0.86686,0.255
Gradient Boosting Classifier,0.93072,0.9844799999999999,0.93072,0.9352199999999999,0.9303799999999999,0.8569800000000001,0.86158,0.0982
Random Forest Classifier,0.9282999999999999,0.9846600000000001,0.9282999999999999,0.9328200000000001,0.9277799999999999,0.8515,0.85638,0.0418
Extreme Gradient Boosting,0.9273199999999999,0.98296,0.9273199999999999,0.93184,0.9269400000000001,0.84988,0.8545400000000001,0.0218
Ada Boost Classifier,0.9189,0.9680199999999999,0.9189,0.92322,0.91844,0.8321999999999999,0.8368399999999999,0.029600000000000005
Extra Trees Classifier,0.89124,0.95364,0.89124,0.8987,0.88968,0.77292,0.78186,0.0368
Decision Tree Classifier,0.8779999999999999,0.87492,0.8779999999999999,0.8849199999999999,0.87736,0.74878,0.7555,0.0062
Quadratic Discriminant Analysis,0.65564,0.6712,0.65564,0.6718599999999999,0.63778,0.28500000000000003,0.30274,0.0056
Dummy Classifier,0.58748,0.5,0.58748,0.34526,0.43486,0.0,0.0,0.0078
K Neighbors Classifier,0.526,0.49239999999999995,0.526,0.51566,0.5156000000000001,-0.0002599999999999991,-0.00012000000000000067,0.0064
Naive Bayes,0.52498,0.50578,0.52498,0.52964,0.47906000000000004,0.01858,0.02258,0.0056
SVM - Linear Kernel,0.5050600000000001,0.48172000000000004,0.5050600000000001,0.51456,0.48461999999999994,-0.01622,-0.010899999999999998,0.0062
Logistic Regression,0.50356,0.40518,0.50356,0.47498000000000007,0.46518,-0.08556,-0.0861,0.0234
Ridge Classifier,0.49315999999999993,0.39964,0.49315999999999993,0.45936000000000005,0.45226,-0.11188000000000001,-0.1152,0.0056
Linear Discriminant Analysis,0.49008,0.39934000000000003,0.49008,0.4572,0.45194,-0.11457999999999999,-0.118,0.0056
