Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Random Forest Classifier,0.93614,0.98898,0.93614,0.94076,0.9357800000000001,0.8721,0.8767199999999999,0.0464
CatBoost Classifier,0.93442,0.9864,0.93442,0.93894,0.9339999999999999,0.8686,0.8731199999999999,1.0884
Gradient Boosting Classifier,0.93194,0.9855600000000001,0.93194,0.93596,0.9316000000000001,0.8637600000000001,0.8677400000000001,0.1056
Light Gradient Boosting Machine,0.9289,0.9854799999999999,0.9289,0.93294,0.92856,0.85768,0.86168,0.2542
Ada Boost Classifier,0.92714,0.9800000000000001,0.92714,0.9322800000000001,0.9267199999999999,0.85418,0.85924,0.0314
Extreme Gradient Boosting,0.92232,0.9818200000000001,0.92232,0.92756,0.92188,0.8445,0.8497,0.0198
Decision Tree Classifier,0.91112,0.91114,0.91112,0.9152000000000001,0.91082,0.8221399999999999,0.8262,0.007000000000000001
Extra Trees Classifier,0.8876200000000001,0.9583,0.8876200000000001,0.8956799999999999,0.88666,0.7749400000000001,0.78286,0.0418
Quadratic Discriminant Analysis,0.59124,0.6575799999999999,0.59124,0.60172,0.57716,0.18472,0.19336,0.006
Dummy Classifier,0.50972,0.5,0.50972,0.25992,0.34425999999999995,0.0,0.0,0.0073999999999999995
Naive Bayes,0.49589999999999995,0.5043,0.49589999999999995,0.4946,0.4466,-0.005679999999999999,-0.00372,0.0058000000000000005
K Neighbors Classifier,0.47644000000000003,0.4465,0.47644000000000003,0.47652,0.47018000000000004,-0.04752,-0.047659999999999994,0.008400000000000001
Linear Discriminant Analysis,0.46118,0.41978,0.46118,0.45998,0.4466,-0.07972,-0.08072,0.0058000000000000005
SVM - Linear Kernel,0.46036,0.44732000000000005,0.46036,0.45718,0.44670000000000004,-0.08,-0.08308,0.0076
Ridge Classifier,0.45946,0.41716,0.45946,0.45854,0.44514,-0.08304,-0.08393999999999999,0.0064
Logistic Regression,0.45220000000000005,0.41098,0.45220000000000005,0.44902,0.43916000000000005,-0.09746,-0.10014,0.025
