Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
CatBoost Classifier,0.9712,0.9964600000000001,0.9712,0.9745000000000001,0.97102,0.9423,0.9456199999999999,1.1904
Gradient Boosting Classifier,0.9688800000000001,0.99644,0.9688800000000001,0.9715,0.9686999999999999,0.9377000000000001,0.94032,0.09
Light Gradient Boosting Machine,0.96784,0.9959199999999999,0.96784,0.97122,0.9676,0.9355399999999999,0.9389199999999999,0.2756
Random Forest Classifier,0.9678000000000001,0.99474,0.9678000000000001,0.9722799999999999,0.96746,0.9356199999999999,0.9400000000000001,0.0452
Ada Boost Classifier,0.96588,0.99362,0.96588,0.96886,0.9657,0.9316599999999999,0.93466,0.0328
Extreme Gradient Boosting,0.96402,0.9954000000000001,0.96402,0.9663600000000001,0.96386,0.9279400000000001,0.93026,0.013999999999999999
Decision Tree Classifier,0.95562,0.95562,0.95562,0.9588599999999999,0.9554,0.91116,0.9143800000000001,0.0068000000000000005
Extra Trees Classifier,0.93376,0.9830400000000001,0.93376,0.9442999999999999,0.93254,0.86724,0.87752,0.0304
Quadratic Discriminant Analysis,0.6535,0.7437,0.6535,0.6959,0.62284,0.30894,0.33932,0.0054
Naive Bayes,0.55042,0.5475800000000001,0.55042,0.54884,0.48544,0.10564,0.11792,0.0056
Dummy Classifier,0.51214,0.5,0.51214,0.26242,0.34700000000000003,0.0,0.0,0.009
SVM - Linear Kernel,0.5062800000000001,0.51748,0.5062800000000001,0.50922,0.48705999999999994,0.011940000000000001,0.014279999999999998,0.0062
K Neighbors Classifier,0.49916,0.49582,0.49916,0.49854000000000004,0.49492,-0.002640000000000001,-0.0033599999999999993,0.007000000000000001
Ridge Classifier,0.41144,0.37784,0.41144,0.39848,0.39348,-0.1792,-0.18942,0.006
Linear Discriminant Analysis,0.40800000000000003,0.3752,0.40800000000000003,0.39802,0.39122,-0.18586,-0.19426000000000002,0.005200000000000001
Logistic Regression,0.40724,0.38351999999999997,0.40724,0.39093999999999995,0.38966,-0.18776,-0.1988,0.0262
