Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Random Forest Classifier,0.95792,0.99502,0.95792,0.9604800000000001,0.95784,0.9158200000000001,0.9183600000000001,0.049
CatBoost Classifier,0.95374,0.9947799999999999,0.95374,0.95686,0.9536200000000001,0.90748,0.9106,1.077
Extreme Gradient Boosting,0.9512599999999999,0.9927400000000001,0.9512599999999999,0.95346,0.95116,0.9025000000000001,0.90474,0.0182
Gradient Boosting Classifier,0.9512599999999999,0.9938,0.9512599999999999,0.9539,0.95116,0.9025000000000001,0.9051600000000001,0.1742
Light Gradient Boosting Machine,0.9491799999999999,0.99282,0.9491799999999999,0.95206,0.94906,0.89832,0.90122,0.3398
Ada Boost Classifier,0.9419000000000001,0.98424,0.9419000000000001,0.9446,0.94174,0.8837400000000001,0.88644,0.044199999999999996
Decision Tree Classifier,0.9314600000000001,0.9314600000000001,0.9314600000000001,0.93424,0.9313,0.8629,0.8656600000000001,0.008
Extra Trees Classifier,0.91934,0.9805400000000001,0.91934,0.9258599999999999,0.9189399999999999,0.8387399999999999,0.8451599999999999,0.038400000000000004
Quadratic Discriminant Analysis,0.55396,0.6339,0.55396,0.58638,0.5098,0.10792000000000002,0.13326,0.0056
Dummy Classifier,0.5,0.5,0.5,0.25,0.3333,0.0,0.0,0.0066
Naive Bayes,0.48478000000000004,0.48466,0.48478000000000004,0.48281999999999997,0.41698,-0.0304,-0.03322,0.0058000000000000005
K Neighbors Classifier,0.46209999999999996,0.44714,0.46209999999999996,0.46124,0.45915999999999996,-0.07582,-0.07665999999999999,0.0062
SVM - Linear Kernel,0.45940000000000003,0.45036,0.45940000000000003,0.45776000000000006,0.44032,-0.08126,-0.08296,0.0062
Logistic Regression,0.39062,0.34836,0.39062,0.3847,0.38182,-0.21875999999999998,-0.22446000000000002,0.023399999999999997
Ridge Classifier,0.3846,0.34592,0.3846,0.37902,0.37642,-0.23084,-0.23620000000000002,0.006
Linear Discriminant Analysis,0.38186,0.34484,0.38186,0.37624,0.37374,-0.23626,-0.24169999999999997,0.0058000000000000005
