iter	Passed	Remaining
0	1	1601
1	3	1526
2	4	1560
3	6	1541
4	7	1468
5	8	1428
6	9	1410
7	11	1400
8	12	1394
9	13	1378
10	15	1365
11	16	1359
12	17	1355
13	19	1348
14	20	1364
15	22	1374
16	23	1371
17	25	1381
18	26	1379
19	27	1371
20	29	1371
21	30	1365
22	31	1358
23	33	1354
24	34	1351
25	36	1348
26	37	1363
27	40	1401
28	41	1399
29	43	1398
30	44	1400
31	46	1402
32	47	1397
33	49	1393
34	50	1393
35	51	1391
36	53	1388
37	54	1385
38	56	1380
39	57	1385
40	59	1383
41	60	1375
42	61	1368
43	62	1365
44	64	1360
45	65	1353
46	66	1350
47	67	1344
48	69	1339
49	70	1337
50	71	1333
51	72	1328
52	74	1324
53	75	1319
54	76	1318
55	77	1314
56	79	1312
57	80	1309
58	81	1306
59	83	1304
60	84	1303
61	86	1303
62	87	1301
63	88	1298
64	89	1294
65	91	1291
66	92	1288
67	93	1285
68	95	1288
69	96	1286
70	98	1283
71	100	1289
72	101	1289
73	103	1289
74	104	1286
75	105	1283
76	106	1280
77	108	1288
78	110	1288
79	111	1285
80	113	1284
81	115	1297
82	117	1295
83	118	1293
84	120	1294
85	121	1291
86	122	1287
87	124	1286
88	125	1287
89	127	1285
90	128	1282
91	130	1286
92	131	1283
93	132	1280
94	134	1278
95	135	1275
96	136	1273
97	139	1281
98	140	1280
99	142	1280
100	143	1274
101	144	1273
102	145	1270
103	147	1268
104	149	1275
105	151	1273
106	152	1273
107	154	1275
108	155	1274
109	157	1271
110	158	1269
111	159	1266
112	161	1264
113	162	1262
114	163	1259
115	164	1256
116	167	1260
117	168	1258
118	169	1256
119	171	1254
120	172	1252
121	173	1251
122	175	1249
123	176	1246
124	177	1243
125	178	1240
126	180	1238
127	181	1239
128	183	1238
129	184	1236
130	186	1234
131	187	1233
132	188	1230
133	189	1227
134	191	1224
135	192	1221
136	193	1219
137	194	1217
138	196	1215
139	197	1213
140	199	1213
141	200	1211
142	201	1209
143	203	1207
144	205	1209
145	206	1208
146	207	1206
147	209	1203
148	210	1201
149	211	1198
150	212	1196
151	213	1193
152	215	1191
153	216	1189
154	217	1187
155	218	1184
156	220	1182
157	221	1180
158	222	1178
159	224	1178
160	225	1175
161	226	1173
162	228	1173
163	229	1171
164	231	1172
165	234	1176
166	235	1176
167	237	1175
168	238	1173
169	240	1171
170	242	1174
171	243	1172
172	245	1171
173	246	1168
174	247	1166
175	248	1164
176	249	1162
177	251	1160
178	252	1158
179	253	1155
180	254	1153
181	256	1151
182	258	1152
183	260	1153
184	261	1151
185	287	1258
186	293	1278
187	310	1339
188	312	1338
189	313	1336
190	315	1337
191	322	1357
192	326	1365
193	327	1362
194	329	1358
195	330	1357
196	332	1355
197	334	1352
198	335	1350
199	336	1347
200	338	1344
201	339	1341
202	341	1339
203	342	1337
204	344	1334
205	345	1331
206	346	1328
207	348	1326
208	349	1323
209	350	1319
210	352	1316
211	353	1313
212	354	1311
213	356	1309
214	357	1306
215	359	1303
216	360	1300
217	362	1298
218	363	1296
219	364	1293
220	366	1291
221	367	1287
222	368	1285
223	370	1282
224	371	1279
225	372	1277
226	374	1274
227	375	1271
228	376	1268
229	378	1266
230	380	1265
231	381	1264
232	383	1261
233	384	1258
234	386	1256
235	387	1254
236	389	1252
237	390	1249
238	391	1246
239	393	1245
240	394	1242
241	396	1240
242	397	1238
243	402	1245
244	403	1244
245	405	1243
246	407	1243
247	409	1241
248	413	1246
249	415	1246
250	417	1245
251	419	1244
252	421	1243
253	423	1242
254	424	1241
255	426	1240
256	428	1239
257	432	1243
258	434	1244
259	436	1243
260	438	1241
261	440	1239
262	441	1237
263	444	1240
