Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
CatBoost Classifier,0.9896,0.99976,0.9896,0.9898,0.9896,0.97888,0.97908
Light Gradient Boosting Machine,0.9896,0.99886,0.9896,0.9897199999999999,0.9896,0.97888,0.9789999999999999
Random Forest Classifier,0.98752,0.9993000000000001,0.98752,0.9876799999999999,0.98752,0.9746600000000001,0.97482
Extreme Gradient Boosting,0.98544,0.9992000000000001,0.98544,0.9856999999999999,0.9854200000000001,0.9703800000000001,0.97068
Gradient Boosting Classifier,0.98544,0.99886,0.98544,0.9856199999999999,0.9854200000000001,0.97036,0.97058
Ada Boost Classifier,0.98336,0.9989399999999999,0.98336,0.9835,0.9833400000000001,0.96614,0.96632
Extra Trees Classifier,0.98126,0.9989799999999999,0.98126,0.98156,0.98126,0.9619,0.9621999999999999
Decision Tree Classifier,0.9458400000000001,0.94446,0.9458400000000001,0.9468400000000001,0.9457599999999999,0.8897400000000001,0.89086
Naive Bayes,0.6125,0.7477199999999999,0.6125,0.5979,0.56162,0.24316,0.27406
K Neighbors Classifier,0.59792,0.6174799999999999,0.59792,0.5936600000000001,0.5887,0.16462000000000002,0.16943999999999998
Logistic Regression,0.58748,0.5851,0.58748,0.58016,0.5560799999999999,0.11792,0.13126
Dummy Classifier,0.5625,0.5,0.5625,0.3164,0.4050000000000001,0.0,0.0
Quadratic Discriminant Analysis,0.5625,0.5,0.5625,0.3164,0.4050000000000001,0.0,0.0
Linear Discriminant Analysis,0.50622,0.53104,0.50622,0.49722,0.49132,-0.02182,-0.021640000000000003
Ridge Classifier,0.50622,0.48440000000000005,0.50622,0.49632000000000004,0.48566000000000004,-0.0299,-0.02692
SVM - Linear Kernel,0.49582,0.47723999999999994,0.49582,0.4875,0.48366,-0.046040000000000005,-0.043820000000000005
