Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
CatBoost Classifier,0.99792,0.99964,0.99792,0.99796,0.99792,0.99576,0.9958
Gradient Boosting Classifier,0.9958400000000001,0.99956,0.9958400000000001,0.9959199999999999,0.9958400000000001,0.9915200000000001,0.9916
Random Forest Classifier,0.9958400000000001,1.0,0.9958400000000001,0.99598,0.9958199999999999,0.9914799999999999,0.9916599999999999
Light Gradient Boosting Machine,0.99376,0.9994,0.99376,0.9939399999999999,0.9937400000000001,0.9872399999999999,0.9874600000000001
Ada Boost Classifier,0.99168,0.9987600000000001,0.99168,0.9917400000000001,0.9916600000000001,0.98302,0.9831199999999999
Extreme Gradient Boosting,0.9896,0.99896,0.9896,0.98986,0.9895799999999999,0.9787800000000001,0.9790800000000001
Decision Tree Classifier,0.97292,0.96906,0.97292,0.9763,0.9724,0.9438000000000001,0.9477599999999999
Extra Trees Classifier,0.95626,0.99306,0.95626,0.96,0.9557399999999999,0.9100400000000001,0.9143399999999999
Ridge Classifier,0.5958600000000001,0.5889,0.5958600000000001,0.6027,0.58296,0.18168,0.18716
Logistic Regression,0.59378,0.5993,0.59378,0.5985400000000001,0.58184,0.173,0.17854
Linear Discriminant Analysis,0.58544,0.57972,0.58544,0.59204,0.5713199999999999,0.16106,0.16606
Naive Bayes,0.57498,0.7241799999999999,0.57498,0.6616799999999999,0.52152,0.15834,0.19341999999999998
Dummy Classifier,0.5625,0.5,0.5625,0.3164,0.4050000000000001,0.0,0.0
K Neighbors Classifier,0.5479200000000001,0.60372,0.5479200000000001,0.5614,0.54674,0.10407999999999999,0.10636000000000001
SVM - Linear Kernel,0.54164,0.52168,0.54164,0.44902,0.46790000000000004,0.04542,-0.0036600000000000187
Quadratic Discriminant Analysis,0.4625,0.5,0.4625,0.2164,0.29403999999999997,0.0,0.0
