Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
CatBoost Classifier,0.99376,0.9974399999999999,0.99376,0.9939399999999999,0.9937400000000001,0.9872399999999999,0.9874600000000001
Light Gradient Boosting Machine,0.99376,0.9979800000000001,0.99376,0.9939399999999999,0.9937400000000001,0.9872399999999999,0.9874600000000001
Gradient Boosting Classifier,0.99168,0.99604,0.99168,0.99196,0.99164,0.98296,0.98332
Random Forest Classifier,0.99168,0.99678,0.99168,0.99204,0.99164,0.98296,0.98338
Ada Boost Classifier,0.9896,0.99648,0.9896,0.98992,0.98956,0.97872,0.97912
Extreme Gradient Boosting,0.9896,0.9979800000000001,0.9896,0.99006,0.9895400000000001,0.97868,0.9792400000000001
Decision Tree Classifier,0.9875,0.9873,0.9875,0.9875,0.9875,0.9746,0.9746
Extra Trees Classifier,0.9333600000000001,0.9684800000000001,0.9333600000000001,0.9335800000000001,0.9326599999999999,0.86266,0.86384
Linear Discriminant Analysis,0.6021,0.6481600000000001,0.6021,0.61916,0.56358,0.15411999999999998,0.18648
Ridge Classifier,0.59582,0.56138,0.59582,0.61856,0.5471999999999999,0.1326,0.17212
Dummy Classifier,0.5625,0.5,0.5625,0.3164,0.4050000000000001,0.0,0.0
Logistic Regression,0.5625,0.63388,0.5625,0.5687599999999999,0.50054,0.048979999999999996,0.08114000000000002
Quadratic Discriminant Analysis,0.5625,0.5,0.5625,0.3164,0.4050000000000001,0.0,0.0
SVM - Linear Kernel,0.5187200000000001,0.48438,0.5187200000000001,0.48984000000000005,0.46365999999999996,-0.03016,-0.029919999999999995
K Neighbors Classifier,0.51456,0.52242,0.51456,0.48878000000000005,0.48617999999999995,-0.0317,-0.03498
Naive Bayes,0.45002,0.55528,0.45002,0.37368,0.29818,0.0178,0.044879999999999996
