Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
Decision Tree Classifier,0.99168,0.99154,0.99168,0.99176,0.99168,0.9831,0.9831799999999999
Random Forest Classifier,0.98544,0.9996,0.98544,0.986,0.98544,0.97044,0.97098
Extreme Gradient Boosting,0.9854200000000001,0.9974399999999999,0.9854200000000001,0.98628,0.98546,0.9705199999999999,0.9712999999999999
Ada Boost Classifier,0.9833400000000001,0.99498,0.9833400000000001,0.98458,0.98338,0.9663999999999999,0.9675
CatBoost Classifier,0.9833400000000001,0.99938,0.9833400000000001,0.98424,0.98338,0.96628,0.9671
Light Gradient Boosting Machine,0.9833400000000001,0.9985799999999999,0.9833400000000001,0.98458,0.98338,0.9663999999999999,0.9675
Gradient Boosting Classifier,0.98126,0.99902,0.98126,0.98254,0.9813000000000001,0.9621600000000001,0.9632999999999999
Extra Trees Classifier,0.9708400000000001,0.99276,0.9708400000000001,0.97256,0.9709200000000001,0.94138,0.94278
Dummy Classifier,0.5625,0.5,0.5625,0.3164,0.4050000000000001,0.0,0.0
K Neighbors Classifier,0.5562400000000001,0.5681,0.5562400000000001,0.57456,0.55548,0.12669999999999998,0.13106
Linear Discriminant Analysis,0.55002,0.54444,0.55002,0.5572,0.5498,0.10202,0.10118
SVM - Linear Kernel,0.55,0.55766,0.55,0.57976,0.53696,0.11016,0.12674000000000002
Ridge Classifier,0.5375,0.53864,0.5375,0.5449400000000001,0.5368,0.0782,0.07683999999999999
Logistic Regression,0.53542,0.53882,0.53542,0.54364,0.53464,0.07651999999999999,0.07472000000000001
Quadratic Discriminant Analysis,0.5229199999999999,0.5699799999999999,0.5229199999999999,0.60526,0.4765,0.09234,0.11608
Naive Bayes,0.51668,0.61306,0.51668,0.52326,0.43658,0.037579999999999995,0.0419
