iter	Passed	Remaining
0	1	1835
1	3	1920
2	5	1818
3	7	1878
4	8	1722
5	9	1620
6	11	1603
7	13	1714
8	16	1784
9	17	1752
10	19	1734
11	20	1725
12	22	1712
13	23	1689
14	25	1663
15	26	1633
16	27	1606
17	29	1600
18	30	1597
19	32	1572
20	33	1557
21	34	1543
22	36	1537
23	37	1527
24	39	1521
25	40	1510
26	41	1495
27	42	1480
28	44	1482
29	47	1526
30	49	1532
31	50	1535
32	52	1536
33	54	1537
34	55	1543
35	57	1537
36	58	1531
37	60	1533
38	62	1543
39	64	1551
40	66	1551
41	68	1566
42	70	1561
43	72	1568
44	73	1569
45	75	1564
46	77	1579
47	80	1593
48	82	1593
49	84	1597
50	86	1600
51	89	1625
52	90	1622
53	92	1619
54	94	1630
55	98	1668
56	101	1673
57	103	1673
58	104	1672
59	106	1661
60	107	1651
61	108	1643
62	110	1638
63	111	1631
64	112	1624
65	114	1614
66	115	1608
67	117	1605
68	119	1612
69	121	1616
70	123	1612
71	124	1608
72	127	1614
73	128	1614
74	130	1608
75	131	1600
76	133	1596
77	134	1590
78	136	1587
79	138	1588
80	139	1586
81	141	1589
82	146	1613
83	149	1625
84	151	1631
85	154	1636
86	156	1641
87	158	1645
88	161	1652
89	162	1646
90	164	1645
91	166	1642
92	168	1641
93	169	1637
94	171	1634
95	173	1634
96	176	1641
97	178	1644
98	181	1647
99	183	1651
100	185	1649
101	187	1646
102	188	1645
103	190	1642
104	192	1639
105	193	1635
106	195	1630
107	197	1627
108	198	1621
109	199	1616
110	201	1612
111	203	1614
112	204	1609
113	207	1609
114	208	1606
115	210	1603
116	211	1597
117	213	1595
118	216	1601
119	217	1598
120	219	1592
121	220	1586
122	221	1581
123	223	1578
124	225	1576
125	226	1571
126	227	1565
127	229	1560
128	230	1559
129	234	1566
130	236	1566
131	238	1570
132	242	1579
133	245	1585
134	249	1597
135	251	1595
136	256	1614
137	259	1620
138	262	1624
139	265	1629
140	269	1641
141	272	1648
142	274	1646
143	276	1644
144	278	1641
145	280	1638
146	281	1634
147	283	1631
148	284	1627
149	286	1623
150	288	1619
151	289	1616
152	291	1613
153	293	1609
154	294	1606
155	296	1601
156	297	1596
157	298	1591
158	299	1586
159	301	1584
160	304	1584
161	305	1581
162	307	1576
163	308	1571
164	310	1568
165	311	1564
166	312	1561
167	314	1557
168	315	1552
169	316	1546
170	318	1544
171	320	1544
172	322	1541
173	323	1536
174	324	1531
175	326	1529
176	327	1525
177	330	1524
178	331	1521
179	333	1518
180	345	1562
181	346	1557
182	347	1552
183	348	1546
184	350	1543
185	352	1541
186	353	1538
187	355	1533
188	358	1538
189	359	1534
190	362	1534
191	363	1530
192	365	1526
193	366	1523
194	369	1526
195	372	1526
196	374	1524
197	375	1522
198	378	1521
199	380	1520
200	382	1518
201	384	1519
202	387	1522
203	389	1520
204	392	1522
205	395	1525
206	398	1525
207	401	1528
208	404	1529
209	406	1527
210	408	1526
211	412	1534
212	414	1531
213	416	1527
214	418	1526
215	419	1522
216	421	1520
217	424	1521
218	426	1520
219	427	1517
220	429	1513
221	431	1510
222	434	1513
223	436	1510
224	437	1505
225	438	1501
226	440	1500
227	442	1499
228	444	1497
229	445	1492
230	447	1488
231	449	1487
232	451	1487
233	453	1485
234	455	1482
235	456	1479
236	458	1476
237	460	1473
238	462	1473
239	464	1471
240	465	1467
241	467	1463
242	468	1460
243	470	1458
244	472	1454
245	473	1451
246	474	1447
247	475	1443
248	477	1440
249	479	1437
250	481	1436
251	482	1432
252	483	1428
253	485	1425
254	487	1424
255	488	1421
256	490	1416
257	491	1412
258	492	1408
259	494	1408
260	496	1406
261	499	1405
262	500	1403
263	502	1400
264	503	1396
265	505	1394
266	507	1393
267	509	1392
268	510	1388
269	512	1386
270	516	1388
271	518	1387
272	524	1397
273	528	1401
274	531	1401
275	533	1398
276	536	1400
277	539	1401
278	545	1408
279	551	1418
280	553	1416
281	556	1415
282	558	1414
283	560	1412
284	561	1409
285	563	1406
286	566	1406
287	567	1403
288	569	1402
289	571	1398
290	573	1396
291	574	1393
292	576	1390
293	577	1386
294	581	1389
295	582	1386
296	584	1382
297	585	1378
298	586	1375
299	588	1372
300	589	1369
301	591	1366
302	592	1363
303	594	1360
304	595	1357
305	597	1354
306	598	1350
307	599	1347
308	601	1345
309	604	1344
310	605	1342
311	608	1341
312	610	1339
313	612	1339
314	615	1338
315	617	1336
316	618	1333
317	620	1331
318	623	1330
319	625	1329
320	627	1327
321	629	1325
322	632	1324
323	633	1322
324	636	1321
325	638	1319
326	641	1319
327	647	1326
328	650	1326
329	652	1324
330	653	1321
331	655	1319
332	658	1319
333	660	1316
334	661	1313
335	663	1310
336	664	1307
337	666	1304
338	667	1300
339	668	1297
340	669	1293
341	670	1290
342	672	1287
343	673	1283
344	674	1280
345	675	1277
346	677	1274
347	678	1271
348	680	1268
349	681	1265
350	682	1262
351	683	1258
352	685	1255
353	686	1252
354	687	1249
355	689	1247
356	691	1244
357	692	1242
358	693	1238
359	695	1235
360	696	1232
361	697	1229
362	698	1225
363	699	1222
364	700	1219
365	701	1215
366	702	1212
367	704	1209
368	705	1206
369	706	1203
370	708	1200
371	709	1197
372	710	1194
373	712	1192
374	713	1189
375	714	1186
376	715	1182
377	716	1179
378	717	1176
379	718	1172
380	720	1169
381	721	1166
382	723	1164
383	724	1161
384	725	1158
385	726	1156
386	728	1153
387	729	1150
388	730	1146
389	731	1143
390	732	1140
391	733	1137
392	734	1134
393	735	1131
394	736	1128
395	737	1125
396	738	1122
397	740	1119
398	741	1116
399	742	1114
400	744	1112
401	745	1109
402	746	1106
403	747	1103
404	748	1100
405	749	1096
406	750	1093
407	751	1091
408	753	1088
409	754	1085
410	755	1082
411	756	1080
412	758	1077
413	759	1074
414	760	1072
415	761	1069
416	762	1066
417	764	1064
418	765	1062
419	767	1059
420	768	1057
421	769	1054
422	771	1052
423	772	1050
424	775	1048
425	776	1046
426	778	1044
427	779	1042
428	781	1040
429	784	1039
430	786	1038
431	790	1038
432	792	1038
433	795	1037
434	798	1036
435	800	1035
436	802	1033
437	805	1033
438	807	1031
439	809	1029
440	811	1028
441	814	1027
442	819	1030
443	821	1028
444	823	1027
445	825	1025
446	828	1025
447	829	1022
448	831	1019
449	833	1018
450	834	1015
451	835	1013
452	836	1010
453	837	1007
454	839	1005
455	840	1002
456	842	1000
457	843	998
458	844	995
459	845	992
460	846	990
461	847	987
462	849	984
463	850	982
464	851	979
465	852	977
466	854	974
467	855	972
468	856	969
469	857	967
470	859	965
471	860	962
472	861	959
473	862	957
474	863	954
475	865	952
476	866	950
477	867	947
478	868	944
479	869	942
480	870	939
481	871	936
482	873	934
483	874	932
484	875	929
485	877	927
486	878	925
487	879	922
488	880	920
489	882	918
490	883	916
491	885	914
492	886	911
493	887	908
494	888	906
495	889	903
496	891	901
497	892	899
498	893	897
499	894	894
500	896	892
501	897	890
502	898	888
503	900	886
504	901	883
505	902	881
506	903	878
507	904	876
508	905	873
509	906	871
510	908	869
511	909	867
512	910	864
513	911	862
514	913	860
515	914	858
516	916	856
517	917	853
518	918	851
519	919	848
520	920	846
521	921	844
522	922	841
523	923	839
524	925	837
525	926	834
526	927	832
527	928	829
528	929	827
529	930	825
530	931	822
531	932	820
532	933	818
533	934	815
534	935	813
535	937	811
536	938	809
537	939	806
538	940	804
539	941	802
540	942	799
541	943	797
542	944	795
543	946	793
544	947	790
545	948	788
546	949	786
547	950	783
548	951	781
549	952	779
550	953	777
551	955	775
552	956	772
553	957	770
554	958	768
555	959	766
556	960	764
557	961	761
558	963	759
559	964	757
560	965	755
561	966	753
562	967	751
563	969	749
564	971	747
565	972	745
566	974	744
567	975	742
568	977	740
569	979	738
570	981	737
571	983	735
572	984	733
573	986	732
574	987	730
575	989	728
576	990	726
577	992	724
578	993	722
579	995	720
580	997	719
581	998	717
582	999	715
583	1001	713
584	1003	711
585	1004	709
586	1006	708
587	1007	706
588	1009	704
589	1011	702
590	1012	701
591	1014	698
592	1015	696
593	1016	694
594	1018	693
595	1019	691
596	1020	689
597	1022	687
598	1023	684
599	1024	682
600	1025	680
601	1026	678
602	1027	676
603	1028	674
604	1029	672
605	1030	670
606	1032	668
607	1033	666
608	1035	664
609	1036	662
610	1037	660
611	1038	658
612	1039	656
613	1041	654
614	1042	652
615	1043	650
616	1044	648
617	1045	646
618	1047	644
619	1048	642
620	1049	640
621	1050	638
622	1051	636
623	1052	634
624	1053	632
625	1054	630
626	1056	628
627	1059	627
628	1060	625
629	1061	623
630	1062	621
631	1063	619
632	1064	617
633	1066	615
634	1067	613
635	1068	611
636	1069	609
637	1071	607
638	1072	605
639	1073	604
640	1074	602
641	1076	600
642	1077	598
643	1078	596
644	1079	594
645	1081	592
646	1082	590
647	1083	588
648	1084	586
649	1085	584
650	1087	582
651	1088	580
652	1089	578
653	1090	576
654	1091	574
655	1092	572
656	1093	571
657	1095	569
658	1096	567
659	1097	565
660	1098	563
661	1100	561
662	1101	560
663	1102	558
664	1103	556
665	1104	554
666	1106	552
667	1107	550
668	1108	548
669	1110	546
670	1111	544
671	1112	543
672	1113	541
673	1115	539
674	1116	537
675	1118	535
676	1120	534
677	1121	532
678	1122	530
679	1124	529
680	1125	527
681	1126	525
682	1128	523
683	1129	522
684	1131	520
685	1133	518
686	1134	516
687	1136	515
688	1137	513
689	1139	511
690	1140	509
691	1141	508
692	1142	506
693	1144	504
694	1145	502
695	1147	501
696	1148	499
697	1149	497
698	1151	495
699	1152	493
700	1153	492
701	1155	490
702	1156	488
703	1157	486
704	1158	484
705	1159	482
706	1160	480
707	1161	479
708	1162	477
709	1163	475
710	1164	473
711	1165	471
712	1167	469
713	1168	467
714	1169	466
715	1170	464
716	1172	462
717	1173	460
718	1174	459
719	1175	457
720	1177	455
721	1178	453
722	1179	452
723	1180	450
724	1182	448
725	1183	446
726	1184	444
727	1185	442
728	1186	440
729	1187	439
730	1188	437
731	1190	435
732	1191	433
733	1192	432
734	1193	430
735	1194	428
736	1195	426
737	1196	424
738	1197	423
739	1199	421
740	1200	419
741	1201	417
742	1203	416
743	1204	414
744	1205	412
745	1207	411
746	1208	409
747	1209	407
748	1210	405
749	1212	404
750	1213	402
751	1214	400
752	1216	398
753	1217	397
754	1218	395
755	1220	393
756	1222	392
757	1223	390
758	1224	388
759	1225	387
760	1226	385
761	1228	383
762	1230	382
763	1231	380
764	1232	378
765	1233	376
766	1235	375
767	1236	373
768	1238	371
769	1239	370
770	1241	368
771	1242	366
772	1244	365
773	1245	363
774	1247	362
775	1248	360
776	1249	358
777	1251	357
778	1252	355
779	1253	353
780	1255	351
781	1256	350
782	1257	348
783	1258	346
784	1259	345
785	1260	343
786	1261	341
787	1263	339
788	1264	338
789	1265	336
790	1267	334
791	1268	333
792	1269	331
793	1270	329
794	1271	327
795	1272	326
796	1273	324
797	1275	322
798	1276	321
799	1277	319
800	1278	317
801	1279	316
802	1280	314
803	1282	312
804	1283	310
805	1284	309
806	1285	307
807	1286	305
808	1287	304
809	1288	302
810	1289	300
811	1290	298
812	1291	297
813	1292	295
814	1293	293
815	1295	292
816	1296	290
817	1297	288
818	1298	287
819	1299	285
820	1300	283
821	1302	281
822	1305	280
823	1306	279
824	1308	277
825	1309	275
826	1311	274
827	1312	272
828	1313	270
829	1314	269
830	1315	267
831	1316	265
832	1317	264
833	1318	262
834	1320	260
835	1321	259
836	1322	257
837	1323	255
838	1324	254
839	1325	252
840	1326	250
841	1328	249
842	1329	247
843	1330	245
844	1331	244
845	1332	242
846	1333	240
847	1334	239
848	1336	237
849	1337	235
850	1338	234
851	1339	232
852	1340	231
853	1341	229
854	1343	227
855	1344	226
856	1345	224
857	1347	222
858	1348	221
859	1350	219
860	1351	218
861	1353	216
862	1355	215
863	1356	213
864	1357	211
865	1358	210
866	1360	208
867	1362	207
868	1363	205
869	1365	203
870	1366	202
871	1367	200
872	1369	199
873	1370	197
874	1371	195
875	1372	194
876	1373	192
877	1375	191
878	1376	189
879	1377	187
880	1378	186
881	1380	184
882	1381	183
883	1382	181
884	1383	179
885	1385	178
886	1386	176
887	1387	174
888	1388	173
889	1389	171
890	1391	170
891	1393	168
892	1394	167
893	1396	165
894	1397	164
895	1400	162
896	1402	161
897	1404	159
898	1405	157
899	1407	156
900	1409	154
901	1410	153
902	1412	151
903	1413	150
904	1415	148
905	1417	147
906	1419	145
907	1422	144
908	1423	142
909	1425	140
910	1426	139
911	1428	137
912	1429	136
913	1431	134
914	1433	133
915	1434	131
916	1435	129
917	1437	128
918	1438	126
919	1439	125
920	1440	123
921	1442	121
922	1443	120
923	1444	118
924	1446	117
925	1447	115
926	1448	114
927	1449	112
928	1450	110
929	1451	109
930	1452	107
931	1453	106
932	1454	104
933	1455	102
934	1457	101
935	1458	99
936	1459	98
937	1460	96
938	1461	94
939	1462	93
940	1464	91
941	1465	90
942	1466	88
943	1467	87
944	1468	85
945	1469	83
946	1470	82
947	1471	80
948	1472	79
949	1473	77
950	1474	75
951	1475	74
952	1477	72
953	1478	71
954	1479	69
955	1480	68
956	1481	66
957	1482	65
958	1483	63
959	1484	61
960	1486	60
961	1487	58
962	1488	57
963	1489	55
