iter	Passed	Remaining
0	4	4943
1	6	3031
2	7	2403
3	8	2145
4	9	1983
5	11	1848
6	12	1727
7	13	1661
8	14	1591
9	15	1571
10	16	1527
11	18	1488
12	12	41	3147
13	42	2999
14	52	3478
15	54	3350
16	55	3217
17	58	3215
18	60	3101
19	64	3162
20	66	3117
21	68	3029
22	71	3045
23	76	3109
24	78	3078
25	82	3098
26	84	3062
27	87	3036
28	88	2965
29	99	3227
30	103	3237
31	108	3267
32	110	3232
33	113	3230
34	116	3207
35	119	3187
36	121	3156
37	124	3160
38	127	3129
39	130	3135
40	132	3109
41	137	3140
42	146	3269
43	149	3258
44	151	3210
45	153	3181
46	156	3170
47	159	3153
48	160	3121
49	163	3100
50	164	3063
51	166	3028
52	167	2993
53	168	2958
54	170	2922
55	171	2889
56	172	2850
57	173	2816
58	174	2784
59	176	2761
60	177	2728
61	178	2699
62	186	2771
63	187	2738
64	189	2729
65	190	2697
66	193	2698
67	195	2679
68	197	2660
69	198	2637
70	206	2705
71	211	2721
72	214	2721
73	216	2709
74	224	2773
75	226	2748
76	227	2722
77	228	2698
78	229	2673
79	231	2656
80	234	2660
81	236	2650
82	239	2651
83	241	2635
84	242	2613
85	243	2590
86	24488	22987	24689	23088	24990	23689	25291	241	2382
92	243	2378
93	245	2361
94	25293	26795	255	2404
96	258	2408
97	259	2391
98	261	2376
99	272	2451
100	275	2455
101	277	2439
102	280	2441
103	282	2433
104	284	2427
105	286	2419
106	289	2412
107	290	2402
108	293	2401
109	297	2408
110	299	2402
111	301	2387
112	305	2396
113	309	2409
114	312	2406
115	316	2415
116	320	2415
117	323	2418
118	325	2411
119	328	2406
120	329	2392
121	330	2377
122	340	2429
123	342	2422
124	344	2408
125	346	2403
126	351	2418
127	354	2411
128	358	2421
129	362	2424
130	364	2416
131	366	2409
132	367	2396
133	372	2404
134	374	2398
135	384	2440
136	386	2433
137	389	2435
138	391	2427
139	394	2420
140	396	2414
141	397	2400
142	398	2387
143	409	2437
144	413	2436
145	414	2423
146	415	2412
147	416	2399
148	417	2387
149	419	2377
150	420	2366
151	422	2357
152	423	2345
153	424	2332
154	425	2321
155	426	2309
156	428	2298
157	429	2286
158	431	2279
159	433	2274
160	435	2267
161	437	2260
162	438	2250
163	439	2239
164	440	2229
165	442	2225
166	445	2220
167	447	2218
168	449	2210
169	451	2206
170	455	2208
171	457	2202
172	459	2198
173	461	2188
174	466	2199
175	469	2196
176	473	2200
177	474	2191
178	479	2199
179	481	2194
180	485	2197
181	489	2198
182	491	2194
183	496	2201
184	498	2197
185	503	2203
186	504	2193
187	506	2188
188	511	2194
189	513	2190
190	517	2191
191	520	2191
192	524	2192
193	527	2193
194	531	2194
195	535	2195
196	538	2195
197	542	2196
198	546	2198
199	549	2198
200	553	2199
201	556	2199
202	560	2200
203	564	2201
204	569	2207
205	570	2197
206	574	2202
207	578	2203
208	583	2208
209	587	2208
210	588	2199
211	598	2223
212	599	2215
213	603	2216
214	608	2220
215	610	2216
216	614	2215
217	617	2216
218	620	2211
219	623	2211
220	626	2207
221	628	2202
222	629	2193
223	631	2189
224	634	2185
225	636	2179
226	641	2183
227	644	2183
228	648	2183
229	651	2182
230	655	2182
231	657	2177
232	661	2176
233	665	2177
234	666	2169
235	671	2174
236	673	2169
237	677	2169
238	679	2164
239	683	2164
240	685	2159
241	690	2163
242	693	2159
243	694	2150
244	695	2142
245	698	2142
246	701	2138
247	704	2136
248	706	2132
249	709	2127
250	714	2131
251	715	2123
252	716	2115
253	730	2145
254	733	2144
255	739	2147
256	741	2143
257	742	2136
258	744	2128
259	745	2121
260	747	2116
261	750	2114
262	754	2113
263	757	2110
264	759	2107
265	761	2100
266	765	2100
267	769	2101
268	771	2096
269	774	2093
270	779	2095
271	780	2088
272	785	2091
273	790	2093
274	792	2088
275	793	2080
276	799	2086
277	802	2084
278	806	2084
279	807	2076
280	813	2082
281	818	2084
282	821	2080
283	822	2073
284	844	2117
285	846	2113
286	849	2110
287	853	2109
288	856	2106
289	858	2100
290	859	2093
291	869	2108
292	871	2101
293	873	2097
294	877	2096
295	883	2101
296	887	2100
297	890	2096
298	892	2092
299	898	2095
300	900	2091
301	902	2086
302	905	2082
303	907	2077
304	911	2076
305	916	2078
306	919	2076
307	923	2075
308	927	2073
309	929	2069
310	937	2076
311	938	2069
312	939	2062
313	941	2056
314	946	2057
315	947	2050
316	949	2045
317	951	2040
318	954	2036
319	957	2035
320	961	2033
321	964	2031
322	968	2030
323	969	2023
324	976	2027
325	977	2020
326	978	2013
327	979	2006
328	988	2015
329	991	2013
330	996	2014
331	998	2008
332	1001	2006
333	1006	2007
334	1010	2005
335	1012	2001
336	1016	1999
337	1017	1993
338	1023	1996
339	1026	1992
340	1031	1993
341	1035	1991
342	1038	1990
343	1042	1988
344	1045	1984
345	1049	1984
346	1051	1977
347	1052	1971
348	1053	1965
349	1063	1975
350	1067	1973
351	1072	1973
352	1075	1970
353	1078	1968
354	1081	1964
355	1087	1967
356	1092	1968
357	1096	1966
358	1100	1964
359	1101	1958
360	1105	1956
361	1109	1954
362	1114	1955
363	1117	1953
364	1121	1951
365	1122	1945
366	1126	1943
367	1131	1942
368	1132	1936
369	1133	1930
370	1135	1925
371	1141	1927
372	1144	1923
373	1146	1918
374	1151	1919
375	1153	1914
376	1155	1910
377	1160	1909
378	1164	1907
379	1167	1905
380	1172	1904
381	1175	1901
382	1178	1897
383	1179	1891
384	1182	1889
385	1186	1886
386	1189	1883
387	1193	1881
388	1195	1877
389	1198	1874
390	1199	1868
391	1207	1872
392	1210	1870
393	1212	1864
394	1216	1863
395	1219	1859
396	1224	1860
397	1228	1858
398	1231	1855
399	1235	1852
400	1241	1854
401	1242	1848
402	1243	1842
403	1247	1840
404	1249	1836
405	1250	1830
406	1258	1833
407	1262	1832
408	1265	1828
409	1266	1822
410	1269	1818
411	1270	1812
412	1280	1819
413	1281	1813
414	1283	1809
415	1285	1803
416	1289	1803
417	1294	1802
418	1295	1796
419	1305	1803
420	1307	1797
421	1310	1795
422	1312	1789
423	1315	1787
424	1318	1784
425	1322	1781
426	1325	1778
427	1328	1775
428	1330	1770
429	1339	1775
430	1341	1771
431	1344	1767
432	1349	1766
433	1353	1764
434	1354	1759
435	1359	1758
436	1363	1756
437	1366	1753
438	1368	1748
439	1377	1753
440	1379	1748
441	1383	1746
442	1387	1744
443	1389	1740
444	1396	1741
445	1400	1739
446	1405	1738
447	1408	1735
448	1415	1737
449	1418	1734
450	1419	1728
451	1421	1722
452	1424	1720
453	1429	1718
454	1433	1716
455	1437	1714
456	1439	1710
457	1443	1708
458	1446	1704
459	1447	1699
460	1451	1697
461	1454	1693
462	1459	1692
463	1463	1690
464	1468	1689
465	1472	1687
466	1473	1682
467	1480	1682
468	1484	1680
469	1488	1678
470	1491	1675
471	1494	1671
472	1499	1670
473	1502	1667
474	1506	1665
475	1512	1664
476	1513	1659
477	1515	1654
478	1524	1657
479	1526	1653
480	1528	1648
481	1530	1644
482	1535	1643
483	1539	1641
484	1543	1638
485	1547	1636
486	1548	1631
487	1550	1626
488	1551	1621
489	1553	1616
490	1555	1612
491	1558	1608
492	1561	1606
493	1563	1601
494	1568	1599
495	1573	1598
496	1576	1595
497	1580	1592
498	1583	1590
499	1587	1587
500	1590	1583
501	1592	1580
502	1597	1578
503	1601	1576
504	1603	1572
505	1605	1566
506	1611	1566
507	1612	1561
508	1618	1561
509	1621	1557
510	1624	1554
511	1629	1552
512	1631	1549
513	1635	1546
514	1638	1542
515	1639	1537
516	1647	1538
517	1649	1534
518	1652	1531
519	1655	1528
520	1661	1527
521	1663	1523
522	1667	1520
523	1668	1515
524	1678	1518
525	1681	1515
526	1684	1512
527	1687	1508
528	1689	1504
529	1691	1500
530	1693	1495
531	1695	1491
532	1698	1487
533	1701	1484
534	1702	1479
535	1703	1474
536	1704	1469
537	1715	1473
538	1718	1469
539	1722	1466
540	1725	1464
541	1730	1462
542	1731	1457
543	1736	1455
544	1739	1451
545	1740	1447
546	1746	1446
547	1748	1442
548	1754	1441
549	1758	1439
550	1760	1434
551	1764	1431
552	1766	1427
553	1769	1424
554	1772	1420
555	1775	1418
556	1778	1414
557	1779	1409
558	1780	1404
559	1781	1399
560	1783	1395
561	1785	1391
562	1787	1387
563	1788	1382
564	1789	1377
565	1791	1373
566	1792	1368
567	1793	1364
568	1794	1359
569	1798	1356
570	1800	1352
571	1801	1348
572	1804	1344
573	1806	1340
574	1808	1336
575	1809	1332
576	1811	1327
577	1814	1325
578	1816	1320
579	1826	1322
580	1827	1318
581	1830	1314
582	1832	1310
583	1833	1306
584	1835	1301
585	1837	1297
586	1838	1293
587	1840	1289
588	1842	1285
589	1844	1281
590	1845	1277
591	1847	1273
592	1850	1269
593	1853	1266
594	1857	1264
595	1860	1261
596	1863	1258
597	1864	1253
598	1871	1252
599	1874	1249
600	1876	1245
601	1882	1244
602	1883	1239
603	1888	1237
604	1891	1235
605	1893	1231
606	1894	1226
607	1905	1228
608	1906	1223
609	1909	1221
610	1913	1218
611	1917	1215
612	1918	1211
613	1920	1207
614	1922	1203
615	1923	1199
616	1925	1195
617	1926	1191
618	1928	1187
619	1929	1182
620	1930	1178
621	1932	1174
622	1933	1170
623	1934	1165
624	1936	1162
625	1939	1158
626	1941	1155
627	1942	1150
628	1946	1147
629	1947	1143
630	1949	1140
631	1951	1136
632	1952	1132
633	1954	1128
634	1958	1125
635	1961	1122
636	1964	1119
637	1967	1116
638	1968	1112
639	1983	1115
640	1984	1111
641	1987	1108
642	1989	1104
643	1991	1100
644	1993	1097
645	1995	1093
646	1996	1089
647	1998	1085
648	2000	1081
649	2005	1079
650	2009	1077
651	2012	1074
652	2017	1072
653	2019	1068
654	2020	1064
655	2021	1060
656	2022	1056
657	2026	1053
658	2027	1049
659	2031	1046
660	2034	1043
661	2037	1040
662	2038	1036
663	2044	1034
664	2047	1031
665	2050	1028
666	2053	1025
667	2055	1021
668	2059	1018
669	2063	1016
670	2066	1013
671	2070	1010
672	2072	1007
673	2078	1005
674	2079	1001
675	2081	997
676	2086	995
677	2087	991
678	2096	991
679	2099	988
680	2100	984
681	2105	981
682	2109	979
683	2113	976
684	2117	973
685	2119	970
686	2123	967
687	2124	963
688	2130	961
689	2134	958
690	2136	955
691	2137	951
692	2139	947
693	2147	946
694	2150	943
695	2154	940
696	2157	938
697	2159	934
698	2163	931
699	2167	928
700	2171	926
701	2174	923
702	2178	920
703	2182	917
704	2185	914
705	2186	910
706	2188	906
707	2189	902
708	2191	899
709	2192	895
710	2194	891
711	2196	888
712	2202	886
713	2203	882
714	2205	878
715	2206	875
716	2208	871
717	2209	867
718	2217	866
719	2221	863
720	2222	860
721	2223	856
722	2224	852
723	2225	848
724	2226	844
725	2227	840
726	2228	836
727	2230	833
728	2231	829
729	2232	825
730	2233	821
731	2234	818
732	2235	814
733	2236	810
734	2237	806
735	2238	802
736	2240	799
737	2242	795
738	2243	792
739	2244	788
740	2245	785
741	2247	781
742	2250	778
743	2250	774
744	2253	771
745	2255	767
746	2273	770
747	2275	766
748	2277	763
749	2278	759
750	2279	755
751	2280	752
752	2285	749
753	2287	746
754	2289	743
755	2299	742
756	2300	738
757	2301	734
758	2304	731
759	2305	727
760	2307	724
761	2308	720
762	2309	717
763	2314	714
764	2316	711
765	2317	708
766	2318	704
767	2319	700
768	2321	697
769	2323	694
770	2325	690
771	2327	687
